latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_cgvd28,rcvr_clk_ns
-74.40723052222222,163.43770631111119,79.767,23.99583,315,2018,0.99961439,416979.517
-74.40723056666667,163.4377065,79.782,23.99167,315,2018,0.99961439,410472.812
-74.40723049722223,163.43770638333334,79.7577,23.98750,315,2018,0.99961439,403963.032
-74.40723056944445,163.4377065638889,79.7826,23.98333,315,2018,0.99961439,397449.915
-74.4072306,163.4377065111111,79.7842,23.97917,315,2018,0.99961439,390934.083
-74.40723058055556,163.43770655555556,79.7815,23.97500,315,2018,0.99961439,384416.774
-74.40723050277778,163.4377062972222,79.7737,23.97083,315,2018,0.99961439,377896.350
-74.40723056944445,163.43770665,79.7823,23.96667,315,2018,0.99961439,371374.616
-74.40723055833335,163.43770673055553,79.7824,23.96250,315,2018,0.99961439,364851.413
-74.40723055555557,163.43770655,79.7849,23.95833,315,2018,0.99961439,358326.340
-74.40723058611111,163.43770672222226,79.7858,23.95417,315,2018,0.99961439,351798.768
-74.40723055833335,163.43770654722223,79.7811,23.95000,315,2018,0.99961439,345269.343
-74.40723053888888,163.4377060916667,79.743,23.94583,315,2018,0.99961439,338737.950
-74.40723056944445,163.43770661111114,79.7802,23.94167,315,2018,0.99961439,332204.157
-74.40723052777778,163.43770658611115,79.7537,23.93750,315,2018,0.99961439,325668.274
-74.40723055833335,163.43770668333335,79.7819,23.93333,315,2018,0.99961439,319131.048
-74.4072305638889,163.43770669722224,79.7952,23.92917,315,2018,0.99961439,312592.240
-74.40723054722226,163.43770663888893,79.7791,23.92500,315,2018,0.99961439,306051.009
-74.40723049166668,163.43770640555553,79.7738,23.92083,315,2018,0.99961439,299507.564
-74.40723054444447,163.43770676111112,79.7819,23.91667,315,2018,0.99961439,292963.036
-74.40723046111113,163.4377064888889,79.7859,23.91250,315,2018,0.99961439,286416.353
-74.40723053333332,163.43770675833338,79.784,23.90833,315,2018,0.99961439,279868.299
-74.4072306027778,163.43770684999998,79.8091,23.90417,315,2018,0.99961438,273318.251
-74.40723056944445,163.43770678055557,79.7798,23.90000,315,2018,0.99961439,266765.923
