latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_cgvd28,rcvr_clk_ns
-74.4072271277778,163.43771286111112,79.7358,23.99583,314,2018,0.99961440,187634.840
-74.40722706944445,163.43771282222227,79.7046,23.99167,314,2018,0.99961440,179937.384
-74.40722709166667,163.43771251666666,79.7037,23.98750,314,2018,0.99961440,172238.216
-74.40722706666666,163.43771288333338,79.7068,23.98333,314,2018,0.99961440,164537.425
-74.40722704722224,163.43771280277778,79.7126,23.97917,314,2018,0.99961440,156834.879
-74.40722710555558,163.43771293888892,79.715,23.97500,314,2018,0.99961440,149129.695
-74.40722704166669,163.43771301944446,79.7097,23.97083,314,2018,0.99961440,141422.066
-74.40722710833336,163.437712925,79.718,23.96667,314,2018,0.99961440,133712.637
-74.40722710833336,163.4377129777778,79.7178,23.96250,314,2018,0.99961440,126000.595
-74.4072271027778,163.43771291944444,79.7136,23.95833,314,2018,0.99961440,118287.182
-74.40722697222225,163.4377129277778,79.6849,23.95417,314,2018,0.99961440,110572.647
-74.40722708055556,163.43771298888888,79.7149,23.95000,314,2018,0.99961440,102855.755
-74.40722708888889,163.43771295000002,79.7161,23.94583,314,2018,0.99961440,95137.317
-74.40722709444447,163.43771301111113,79.7129,23.94167,314,2018,0.99961440,87416.582
-74.40722705555557,163.43771290555557,79.6937,23.93750,314,2018,0.99961440,79694.113
-74.40722708611112,163.437713025,79.7135,23.93333,314,2018,0.99961440,71969.367
-74.4072271027778,163.4377128666667,79.7317,23.92917,314,2018,0.99961440,64242.361
-74.40722706944445,163.43771290277778,79.7095,23.92500,314,2018,0.99961440,56512.975
-74.40722706666666,163.43771255833337,79.6859,23.92083,314,2018,0.99961440,48783.162
-74.40722709444447,163.43771305277778,79.712,23.91667,314,2018,0.99961440,41051.009
-74.40722702500003,163.43771328611112,79.7217,23.91250,314,2018,0.99961440,33316.286
-74.40722711111111,163.43771305,79.7161,23.90833,314,2018,0.99961440,25579.474
-74.4072271277778,163.4377128972222,79.7126,23.90417,314,2018,0.99961440,17840.111
-74.40722711111111,163.43771303611112,79.7185,23.90000,314,2018,0.99961440,10097.849
-74.40722717500002,163.43771305,79.7366,23.89583,314,2018,0.99961440,2353.184
-74.40722712500002,163.43771303333332,79.7152,23.89167,314,2018,0.99961440,-5393.470
-74.40722711666668,163.4377128777778,79.7066,23.88750,314,2018,0.99961440,-13142.061
-74.4072271027778,163.43771302222223,79.716,23.88333,314,2018,0.99961440,-20892.563
-74.40722710555558,163.43771297222224,79.7146,23.87917,314,2018,0.99961440,-28643.719
-74.4072271027778,163.4377130611111,79.7079,23.87500,314,2018,0.99961440,-36396.515
-74.40722707222223,163.4377131638889,79.7089,23.87083,314,2018,0.99961440,-44150.919
-74.40722709444447,163.43771303055556,79.7143,23.86667,314,2018,0.99961440,-51908.108
-74.40722710000001,163.43771324444444,79.7196,23.86250,314,2018,0.99961440,-59666.014
-74.40722712500002,163.4377131,79.7186,23.85833,314,2018,0.99961440,-67424.925
-74.40722712222224,163.43771323055557,79.7234,23.85417,314,2018,0.99961440,-75186.063
-74.40722711944446,163.43771311666666,79.7223,23.85000,314,2018,0.99961440,-82948.376
-74.40722713611112,163.4377132972222,79.7381,23.84583,314,2018,0.99961440,-90712.525
-74.40722712222224,163.43771303055556,79.7197,23.84167,314,2018,0.99961440,-98479.693
-74.40722705833335,163.4377134722222,79.7063,23.83750,314,2018,0.99961440,-106247.334
-74.40722709444447,163.43771306388888,79.7082,23.83333,314,2018,0.99961440,-114015.374
-74.40722702222223,163.43771296944445,79.7068,23.82917,314,2018,0.99961440,-121784.758
-74.40722708888889,163.43771296666668,79.7222,23.82500,314,2018,0.99961440,-129556.459
-74.40722717500002,163.43771305555555,79.7397,23.82083,314,2018,0.99961439,-137330.398
-74.40722710833336,163.43771304166668,79.7178,23.81667,314,2018,0.99961440,-145107.437
-74.40722708333334,163.43771339444444,79.7321,23.81250,314,2018,0.99961440,-152886.629
-74.40722709444447,163.43771307222227,79.7216,23.80833,314,2018,0.99961440,-160666.884
-74.40722703888892,163.43771310555556,79.7182,23.80417,314,2018,0.99961440,-168448.416
-74.40722709166667,163.43771298055557,79.7252,23.80000,314,2018,0.99961440,-176230.987
-74.40722707777779,163.43771285,79.7227,23.79583,314,2018,0.99961440,-184015.127
-74.40722709444447,163.43771305,79.7262,23.79167,314,2018,0.99961440,-191802.201
