latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_cgvd28,rcvr_clk_ns
-74.39342993333335,163.45300109166664,97.2738,23.99583,315,2018,0.99961118,-264999.253
-74.39342995833334,163.4530011194444,97.2957,23.99167,315,2018,0.99961117,-271366.463
-74.39342988055556,163.4530010972222,97.2796,23.98750,315,2018,0.99961118,-277738.095
-74.39342995000003,163.45300124999997,97.2971,23.98333,315,2018,0.99961117,-284113.370
-74.39342996944445,163.45300119166663,97.2994,23.97917,315,2018,0.99961117,-290492.346
-74.39342996666667,163.4530012694444,97.2963,23.97500,315,2018,0.99961117,-296874.295
-74.39342989444445,163.45300102222222,97.281,23.97083,315,2018,0.99961118,-303259.788
-74.39342996111112,163.4530013694444,97.2877,23.96667,315,2018,0.99961118,-309648.870
-74.39342993888891,163.45300148055554,97.2872,23.96250,315,2018,0.99961118,-316041.608
-74.39342995833334,163.45300132777777,97.2936,23.95833,315,2018,0.99961117,-322438.046
-74.39342998611113,163.4530015305555,97.2921,23.95417,315,2018,0.99961117,-328836.711
-74.39342993333335,163.45300133055554,97.284,23.95000,315,2018,0.99961118,-335238.126
-74.39342990277778,163.45300095833332,97.2378,23.94583,315,2018,0.99961118,-341642.443
-74.39342992500002,163.45300147499998,97.2808,23.94167,315,2018,0.99961118,-348050.220
-74.39342986666668,163.4530014166666,97.2451,23.93750,315,2018,0.99961118,-354461.389
-74.39342989444445,163.4530016555555,97.2777,23.93333,315,2018,0.99961118,-360875.825
-74.3934299111111,163.45300162777775,97.2856,23.92917,315,2018,0.99961118,-367293.337
-74.39342989444445,163.45300150277774,97.276,23.92500,315,2018,0.99961118,-373713.993
-74.39342983888889,163.45300116666667,97.268,23.92083,315,2018,0.99961118,-380138.233
-74.39342988611112,163.45300149722217,97.2761,23.91667,315,2018,0.99961118,-386564.838
-74.39342981388891,163.45300146111109,97.2919,23.91250,315,2018,0.99961117,-392994.111
-74.3934299111111,163.4530015138888,97.283,23.90833,315,2018,0.99961118,-399427.396
-74.39342996111112,163.45300159444443,97.3039,23.90417,315,2018,0.99961117,-405863.745
-74.39342988333334,163.45300156944444,97.2811,23.90000,315,2018,0.99961118,-412302.824
-74.39342993888891,163.45300166666664,97.3249,23.89583,315,2018,0.99961117,-418744.267
-74.39342988611112,163.4530016111111,97.2819,23.89167,315,2018,0.99961118,-425188.691
-74.39342982222223,163.45300166666664,97.3335,23.88750,315,2018,0.99961117,-431636.601
-74.39342989166667,163.45300160277776,97.2858,23.88333,315,2018,0.99961118,-438087.658
-74.39342994166668,163.45300184722223,97.2837,23.87917,315,2018,0.99961118,-444540.987
-74.39342988333334,163.4530016472222,97.2876,23.87500,315,2018,0.99961118,-450996.262
-74.39342986388893,163.4530011472222,97.2634,23.87083,315,2018,0.99961118,-457454.744
-74.39342986944446,163.45300148611108,97.2886,23.86667,315,2018,0.99961118,-463915.668
-74.39342986111114,163.4530014722222,97.2779,23.86250,315,2018,0.99961118,-470379.306
-74.39342986388893,163.45300145833332,97.294,23.85833,315,2018,0.99961117,-476847.387
-74.39342998055558,163.4530017222222,97.29,23.85417,315,2018,0.99961117,-483318.299
-74.39342988888889,163.45300139166662,97.2932,23.85000,315,2018,0.99961117,-489791.715
-74.39342988888889,163.45300123611108,97.3013,23.84583,315,2018,0.99961117,-496267.474
-74.39342988888889,163.45300138055552,97.2816,23.84167,315,2018,0.99961118,497253.561
-74.39342978888891,163.45300148055554,97.2745,23.83750,315,2018,0.99961118,490773.701
-74.39342988055556,163.4530013694444,97.2788,23.83333,315,2018,0.99961118,484291.504
-74.39342984444447,163.45300134166666,97.2814,23.82917,315,2018,0.99961118,477807.212
-74.39342982500001,163.4530013222222,97.2762,23.82500,315,2018,0.99961118,471319.642
-74.39342983055556,163.45300128055555,97.2521,23.82083,315,2018,0.99961118,464828.968
-74.39342981666667,163.45300123333328,97.2732,23.81667,315,2018,0.99961118,458336.051
-74.39342993055557,163.45300136666663,97.3162,23.81250,315,2018,0.99961117,451840.502
-74.39342983333334,163.45300120277778,97.2723,23.80833,315,2018,0.99961118,445342.617
-74.39342978888891,163.45300102222222,97.2736,23.80417,315,2018,0.99961118,438843.388
-74.39342981944445,163.45300116388887,97.269,23.80000,315,2018,0.99961118,432341.882
-74.3934298027778,163.45300164999995,97.2944,23.79583,315,2018,0.99961117,425838.268
-74.3934298527778,163.45300139166662,97.2737,23.79167,315,2018,0.99961118,419333.151
-74.3934299,163.4530013944444,97.2594,23.78750,315,2018,0.99961118,412825.183
-74.39342983055556,163.45300127499996,97.2737,23.78333,315,2018,0.99961118,406315.065
-74.39342981944445,163.45300149722217,97.2689,23.77917,315,2018,0.99961118,399802.147
-74.39342983055556,163.4530013722222,97.2744,23.77500,315,2018,0.99961118,393287.319
-74.39342982500001,163.45300137499996,97.2766,23.77083,315,2018,0.99961118,386770.425
-74.39342983333334,163.4530014222222,97.2788,23.76667,315,2018,0.99961118,380251.449
-74.39342986388893,163.4530014138889,97.2983,23.76250,315,2018,0.99961117,373730.858
-74.39342981944445,163.45300138611108,97.276,23.75833,315,2018,0.99961118,367207.919
-74.39342984722222,163.45300151944437,97.2369,23.75417,315,2018,0.99961118,360684.044
-74.39342983333334,163.45300133333333,97.2882,23.75000,315,2018,0.99961118,354157.651
-74.39342983611112,163.45300139999992,97.2824,23.74583,315,2018,0.99961118,347629.186
-74.39342985833336,163.45300143055553,97.2827,23.74167,315,2018,0.99961118,341098.610
-74.39342985833336,163.45300133888887,97.2652,23.73750,315,2018,0.99961118,334565.480
-74.39342979722224,163.4530013694444,97.2763,23.73333,315,2018,0.99961118,328030.128
-74.39342987500001,163.45300133888887,97.2775,23.72917,315,2018,0.99961118,321492.710
-74.39342983055556,163.45300132777777,97.2883,23.72500,315,2018,0.99961118,314952.877
-74.39342981944445,163.4530009916666,97.2891,23.72083,315,2018,0.99961118,308410.802
-74.39342982777778,163.45300127777773,97.2847,23.71667,315,2018,0.99961118,301866.765
-74.39342976388889,163.45300094444443,97.2717,23.71250,315,2018,0.99961118,295321.335
-74.3934298027778,163.45300120833335,97.2868,23.70833,315,2018,0.99961118,288774.939
-74.39342986111114,163.45300145555555,97.3279,23.70417,315,2018,0.99961117,282225.970
-74.39342981111113,163.45300119444445,97.2871,23.70000,315,2018,0.99961118,275674.296
-74.39342967500002,163.4530009222222,97.249,23.69583,315,2018,0.99961118,269121.261
-74.39342979166669,163.4530011083333,97.2829,23.69167,315,2018,0.99961118,262565.426
-74.39342983611112,163.45300145,97.2938,23.68750,315,2018,0.99961117,256007.625
-74.39342980833335,163.45300113611108,97.2921,23.68333,315,2018,0.99961117,249447.842
