latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_cgvd28,rcvr_clk_ns
-74.52594007222223,163.45792087499999,26.0546,23.99583,315,2018,0.99962171,448955.643
-74.52594013611109,163.457921,26.0623,23.99167,315,2018,0.99962171,446684.825
-74.52594003611111,163.45792095,26.0368,23.98750,315,2018,0.99962171,444411.105
-74.52594013333334,163.4579210861111,26.0657,23.98333,315,2018,0.99962171,442136.272
-74.52594015555556,163.45792104166662,26.0612,23.97917,315,2018,0.99962171,439859.685
-74.52594013333334,163.45792113333331,26.057,23.97500,315,2018,0.99962171,437580.690
-74.52594007777778,163.45792083888887,26.0457,23.97083,315,2018,0.99962171,435299.992
-74.52594011944444,163.45792108888887,26.0553,23.96667,315,2018,0.99962171,433017.771
-74.52594012222222,163.45792132499997,26.0607,23.96250,315,2018,0.99962171,430733.655
-74.52594011111111,163.45792117499997,26.0562,23.95833,315,2018,0.99962171,428448.235
-74.52594013888887,163.45792132499997,26.0654,23.95417,315,2018,0.99962171,426159.756
-74.52594012777777,163.4579211805555,26.0611,23.95000,315,2018,0.99962171,423869.723
-74.525940075,163.4579207,26.0163,23.94583,315,2018,0.99962171,421576.408
-74.52594011944444,163.4579211361111,26.0572,23.94167,315,2018,0.99962171,419280.944
-74.52594006944445,163.45792111666663,26.0249,23.93750,315,2018,0.99962171,416983.107
-74.52594010277777,163.45792124444444,26.0574,23.93333,315,2018,0.99962171,414683.946
-74.52594012222222,163.45792125,26.0774,23.92917,315,2018,0.99962170,412383.240
-74.52594010555555,163.45792117777773,26.0625,23.92500,315,2018,0.99962171,410080.568
-74.52594005277774,163.45792086944442,26.0524,23.92083,315,2018,0.99962171,407775.165
-74.52594008055556,163.45792121388888,26.0587,23.91667,315,2018,0.99962171,405467.376
-74.525940025,163.45792105277775,26.0722,23.91250,315,2018,0.99962170,403156.894
-74.52594010277777,163.4579211833333,26.0635,23.90833,315,2018,0.99962171,400844.507
-74.52594015277778,163.457921225,26.0875,23.90417,315,2018,0.99962170,398531.459
-74.5259401,163.45792122222218,26.0643,23.90000,315,2018,0.99962171,396215.758
-74.52594015277778,163.4579213972222,26.1055,23.89583,315,2018,0.99962170,393898.294
-74.52594009722222,163.45792117222217,26.0676,23.89167,315,2018,0.99962171,391577.420
-74.52594000555554,163.45792123055557,26.1156,23.88750,315,2018,0.99962170,389254.518
-74.52594008055556,163.4579211805555,26.0626,23.88333,315,2018,0.99962171,386929.073
-74.52594014722222,163.45792145,26.0591,23.87917,315,2018,0.99962171,384601.647
-74.52594007777778,163.45792113055558,26.0594,23.87500,315,2018,0.99962171,382272.952
-74.52594005833333,163.45792075555553,26.0278,23.87083,315,2018,0.99962171,379941.677
-74.52594005555554,163.4579211361111,26.0588,23.86667,315,2018,0.99962171,377608.817
-74.52594004166669,163.45792117777773,26.0449,23.86250,315,2018,0.99962171,375274.155
-74.52594003611111,163.45792104166662,26.0541,23.85833,315,2018,0.99962171,372937.094
-74.52594015277778,163.45792156111105,26.0627,23.85417,315,2018,0.99962171,370598.464
-74.52594006944445,163.45792112777775,26.0641,23.85000,315,2018,0.99962171,368257.403
-74.52594003333333,163.45792096944444,26.0683,23.84583,315,2018,0.99962170,365913.964
-74.52594006111111,163.45792120277773,26.0632,23.84167,315,2018,0.99962171,363568.905
-74.52593998611111,163.45792129999995,26.0481,23.83750,315,2018,0.99962171,361221.480
-74.52594005277774,163.45792109166666,26.0487,23.83333,315,2018,0.99962171,358873.597
-74.52594001666667,163.45792118888886,26.0441,23.82917,315,2018,0.99962171,356523.925
-74.52594003333333,163.45792113055558,26.0516,23.82500,315,2018,0.99962171,354172.733
-74.52594003611111,163.45792117777773,26.0323,23.82083,315,2018,0.99962171,351819.533
-74.52594003611111,163.4579211138889,26.0499,23.81667,315,2018,0.99962171,349464.831
-74.52594014722222,163.4579212472222,26.09,23.81250,315,2018,0.99962170,347107.713
-74.52594003333333,163.457921125,26.051,23.80833,315,2018,0.99962171,344749.037
-74.52593999166666,163.4579209333333,26.0455,23.80417,315,2018,0.99962171,342388.349
-74.52594003611111,163.4579211,26.0583,23.80000,315,2018,0.99962171,340025.851
-74.52593999444444,163.45792153055555,26.0715,23.79583,315,2018,0.99962170,337660.740
-74.52594000833332,163.45792104166662,26.0516,23.79167,315,2018,0.99962171,335294.734
-74.52594005555554,163.45792101388886,26.0283,23.78750,315,2018,0.99962171,332926.479
-74.52594000277776,163.45792100277774,26.0477,23.78333,315,2018,0.99962171,330556.744
-74.52593997777778,163.4579211083333,26.0438,23.77917,315,2018,0.99962171,328185.654
-74.52593999444444,163.45792096388888,26.0537,23.77500,315,2018,0.99962171,325813.432
-74.52593995277779,163.45792095277776,26.0412,23.77083,315,2018,0.99962171,323439.892
-74.52594000555554,163.45792096388888,26.0508,23.76667,315,2018,0.99962171,321064.507
-74.525940025,163.45792102777773,26.0666,23.76250,315,2018,0.99962171,318687.290
-74.52593999166666,163.4579209722222,26.0437,23.75833,315,2018,0.99962171,316307.017
-74.5259400388889,163.4579210333333,26.0094,23.75417,315,2018,0.99962171,313922.557
-74.52594000277776,163.4579209388889,26.0502,23.75000,315,2018,0.99962171,311535.791
-74.52593998611111,163.4579209833333,26.0512,23.74583,315,2018,0.99962171,309147.554
-74.5259399888889,163.4579209861111,26.0487,23.74167,315,2018,0.99962171,306757.239
-74.52593998611111,163.45792096944444,26.0313,23.73750,315,2018,0.99962171,304365.253
-74.52593997222222,163.4579209388889,26.0509,23.73333,315,2018,0.99962171,301971.521
-74.52594000833332,163.45792082777777,26.0322,23.72917,315,2018,0.99962171,299575.921
-74.52593997499999,163.45792087777772,26.0464,23.72500,315,2018,0.99962171,297177.358
-74.52593998055553,163.4579206444444,26.0511,23.72083,315,2018,0.99962171,294778.743
-74.52593998333333,163.45792086666665,26.0522,23.71667,315,2018,0.99962171,292378.582
-74.52593993333333,163.45792070277776,26.0345,23.71250,315,2018,0.99962171,289976.321
-74.52593997499999,163.4579209388889,26.0535,23.70833,315,2018,0.99962171,287572.277
-74.52594002222222,163.45792118888886,26.0903,23.70417,315,2018,0.99962170,285166.877
-74.52593998055553,163.4579209111111,26.0551,23.70000,315,2018,0.99962171,282758.014
-74.52593986111111,163.457920675,26.0137,23.69583,315,2018,0.99962171,280348.067
-74.52593997499999,163.45792088611108,26.0528,23.69167,315,2018,0.99962171,277937.054
-74.52594001666667,163.457921225,26.0627,23.68750,315,2018,0.99962171,275523.556
-74.52594000833332,163.45792085,26.0524,23.68333,315,2018,0.99962171,273108.390
-74.52594001944445,163.45792085,26.0448,23.67917,315,2018,0.99962171,270691.593
-74.52593997777778,163.45792088055555,26.0565,23.67500,315,2018,0.99962171,268273.633
-74.52593993333333,163.45792109722214,26.0758,23.67083,315,2018,0.99962170,265853.750
-74.52593999444444,163.45792090555554,26.0511,23.66667,315,2018,0.99962171,263431.562
-74.52594002222222,163.4579209833333,26.0374,23.66250,315,2018,0.99962171,261007.724
-74.52593999166666,163.45792082777777,26.0553,23.65833,315,2018,0.99962171,258582.229
-74.52594004444443,163.45792087777772,26.0521,23.65417,315,2018,0.99962171,256155.846
-74.52593999722222,163.45792083055554,26.0598,23.65000,315,2018,0.99962171,253728.210
-74.52593997499999,163.4579206555555,26.0938,23.64583,315,2018,0.99962170,251298.931
-74.5259399888889,163.457920825,26.0659,23.64167,315,2018,0.99962171,248868.814
-74.5259400388889,163.45792083055554,26.0069,23.63750,315,2018,0.99962171,246436.794
-74.52593999166666,163.45792085277776,26.0578,23.63333,315,2018,0.99962171,244003.701
-74.52594002222222,163.45792079722224,26.0657,23.62917,315,2018,0.99962171,241568.576
-74.52593998055553,163.45792082777777,26.0632,23.62500,315,2018,0.99962171,239131.837
-74.52593994166666,163.45792099722217,26.05,23.62083,315,2018,0.99962171,236694.179
-74.5259399888889,163.4579208833333,26.0574,23.61667,315,2018,0.99962171,234255.933
-74.52593993333333,163.45792081388888,26.0385,23.61250,315,2018,0.99962171,231816.479
-74.52594001388889,163.45792092777774,26.0649,23.60833,315,2018,0.99962171,229375.039
-74.5259400388889,163.45792096944444,26.0464,23.60417,315,2018,0.99962171,226932.141
-74.52594000555554,163.45792096388888,26.062,23.60000,315,2018,0.99962171,224488.072
-74.52593997777778,163.4579206222222,26.0378,23.59583,315,2018,0.99962171,222042.352
-74.52594002777778,163.45792087222222,26.0561,23.59167,315,2018,0.99962171,219595.742
-74.52594003611111,163.4579205972222,26.0683,23.58750,315,2018,0.99962170,217147.485
-74.52594000555554,163.45792073888887,26.0571,23.58333,315,2018,0.99962171,214697.936
-74.5259400111111,163.45792069722225,26.035,23.57917,315,2018,0.99962171,212247.469
-74.525940025,163.45792081944444,26.0529,23.57500,315,2018,0.99962171,209794.662
-74.52594000833332,163.45792089166665,26.0576,23.57083,315,2018,0.99962171,207340.586
-74.52594003055556,163.45792086944442,26.0558,23.56667,315,2018,0.99962171,204885.821
-74.52593998333333,163.45792071666665,26.0717,23.56250,315,2018,0.99962170,202429.427
-74.52594004166669,163.457920825,26.064,23.55833,315,2018,0.99962171,199971.858
-74.52594006944445,163.45792067222223,26.0849,23.55417,315,2018,0.99962170,197513.120
-74.5259400388889,163.45792084166666,26.0653,23.55000,315,2018,0.99962171,195052.545
-74.52594004444443,163.45792114444444,26.0722,23.54583,315,2018,0.99962170,192591.525
-74.52594,163.45792084166666,26.0689,23.54167,315,2018,0.99962170,190129.428
-74.52594002222222,163.4579207111111,26.0661,23.53750,315,2018,0.99962171,187666.123
-74.525940025,163.45792092222217,26.0654,23.53333,315,2018,0.99962171,185202.567
-74.52594000277776,163.45792077499996,26.0359,23.52917,315,2018,0.99962171,182737.621
-74.52594001388889,163.4579209305555,26.0591,23.52500,315,2018,0.99962171,180271.292
-74.52593991944441,163.45792100555556,26.0382,23.52083,315,2018,0.99962171,177803.609
-74.52594001944445,163.45792091666667,26.0646,23.51667,315,2018,0.99962171,175334.939
-74.52593994166666,163.45792067222223,26.0474,23.51250,315,2018,0.99962171,172864.899
-74.52594001666667,163.45792085555556,26.0748,23.50833,315,2018,0.99962170,170393.778
-74.52593999444444,163.4579207111111,26.0766,23.50417,315,2018,0.99962170,167921.461
-74.52594000833332,163.457920825,26.0703,23.50000,315,2018,0.99962170,165447.920
-74.52593995000001,163.45792101666666,26.0455,23.49583,315,2018,0.99962171,162973.283
-74.525940025,163.4579209305555,26.0588,23.49167,315,2018,0.99962171,160497.572
-74.52593999444444,163.45792102222222,26.0272,23.48750,315,2018,0.99962171,158021.629
-74.52594,163.45792086666665,26.0665,23.48333,315,2018,0.99962171,155545.228
-74.52593993333333,163.45792109722214,26.0453,23.47917,315,2018,0.99962171,153066.818
-74.52594000555554,163.45792095555555,26.0583,23.47500,315,2018,0.99962171,150586.526
-74.52593999166666,163.45792099722217,26.0353,23.47083,315,2018,0.99962171,148105.435
-74.5259399888889,163.45792092777774,26.0559,23.46667,315,2018,0.99962171,145623.541
-74.52594003333333,163.45792101666666,26.086,23.46250,315,2018,0.99962170,143140.585
-74.52593998611111,163.45792096666665,26.0601,23.45833,315,2018,0.99962171,140656.708
-74.52593995277779,163.457921,26.0292,23.45417,315,2018,0.99962171,138171.230
-74.52593999444444,163.45792103611106,26.0585,23.45000,315,2018,0.99962171,135683.990
-74.52594006944445,163.45792081388888,26.0514,23.44583,315,2018,0.99962171,133196.260
-74.52593999166666,163.4579209333333,26.0667,23.44167,315,2018,0.99962171,130707.938
-74.52593998055553,163.45792070277776,26.0715,23.43750,315,2018,0.99962170,128218.423
-74.52593998333333,163.45792092222217,26.0633,23.43333,315,2018,0.99962171,125727.725
-74.52594002222222,163.45792084444443,26.0831,23.42917,315,2018,0.99962170,123236.430
-74.52593999166666,163.45792099166667,26.0665,23.42500,315,2018,0.99962171,120743.602
-74.525940025,163.4579211944444,26.0748,23.42083,315,2018,0.99962170,118249.311
-74.52594000833332,163.45792104166662,26.0534,23.41667,315,2018,0.99962171,115754.180
-74.5259399611111,163.45792133055556,26.07,23.41250,315,2018,0.99962170,113258.403
-74.52594001944445,163.45792104444442,26.0767,23.40833,315,2018,0.99962170,110761.403
-74.52594000555554,163.45792145,26.0982,23.40417,315,2018,0.99962170,108263.070
-74.52594001666667,163.45792096944444,26.0719,23.40000,315,2018,0.99962170,105763.903
-74.52594000833332,163.45792114999998,26.0712,23.39583,315,2018,0.99962170,103263.291
-74.52594,163.4579210333333,26.0746,23.39167,315,2018,0.99962170,100761.489
