latitude_decimal_degree,longitude_decimal_degree,ellipsoidal_height_m,decimal_hour,day_of_year,year,ortho_height_m_cgvd28,rcvr_clk_ns
-74.42556884166669,163.4185163,64.5128,23.99167,316,2018,0.99961738,-37.367
-74.4255688027778,163.41851626388885,64.5122,23.98333,316,2018,0.99961738,-37.299
-74.42556883333336,163.41851612222217,64.5126,23.97500,316,2018,0.99961738,-36.946
-74.42556877500002,163.4185162083333,64.5173,23.96667,316,2018,0.99961737,-36.826
-74.42556879166668,163.41851642777775,64.5177,23.95833,316,2018,0.99961737,-36.873
-74.42556879166668,163.41851646666666,64.5195,23.95000,316,2018,0.99961737,-36.835
-74.4255688027778,163.4185164333333,64.5173,23.94167,316,2018,0.99961737,-36.926
-74.42556875000001,163.41851650555552,64.5331,23.93333,316,2018,0.99961737,-36.844
-74.42556874722223,163.41851631111112,64.5066,23.92500,316,2018,0.99961738,-37.083
-74.4255687361111,163.41851647777776,64.5219,23.91667,316,2018,0.99961737,-37.128
-74.42556874444445,163.41851640833332,64.5192,23.90833,316,2018,0.99961737,-37.084
-74.42556873055555,163.41851647777776,64.5123,23.90000,316,2018,0.99961738,-37.175
-74.42556874166667,163.4185164611111,64.515,23.89167,316,2018,0.99961737,-37.105
-74.42556873888888,163.4185163694444,64.5054,23.88333,316,2018,0.99961738,-37.130
-74.42556877500002,163.41851638611107,64.5077,23.87500,316,2018,0.99961738,-37.098
-74.42556871666667,163.41851637777773,64.5096,23.86667,316,2018,0.99961738,-37.246
-74.42556875555556,163.41851636111107,64.5142,23.85833,316,2018,0.99961738,-37.301
-74.42556874722223,163.41851619166667,64.5034,23.85000,316,2018,0.99961738,-37.588
-74.42556878611111,163.4185163694444,64.5095,23.84167,316,2018,0.99961738,-37.787
-74.42556878055557,163.418516425,64.4995,23.83333,316,2018,0.99961738,-37.831
-74.42556874722223,163.4185163,64.5011,23.82500,316,2018,0.99961738,-37.958
-74.42556876111114,163.41851627777777,64.4961,23.81667,316,2018,0.99961738,-38.240
-74.42556877500002,163.41851628333333,64.4911,23.80833,316,2018,0.99961738,-38.371
-74.42556878611111,163.41851626666667,64.4982,23.80000,316,2018,0.99961738,-38.390
